date_min_t;lon_t;lat_t;min_t;hora
2011 06 10 00 45;-74.55;5.913;212.7;00
2011 06 11 01 15;-74.407;6.772;192.6;01
2011 06 11 23 15;-74.121;6.628;192.7;23
2011 06 13 00 15;-73.693;6.485;204.0;00
2011 06 13 20 15;-74.55;6.628;186.9;20
2011 06 15 05 45;-73.979;7.916;204.8;05
2011 06 18 01 45;-74.836;5.484;214.5;01
2011 06 19 00 45;-73.979;6.199;228.5;00
2011 06 19 04 15;-73.693;7.058;205.3;04
2011 06 20 20 45;-73.836;8.202;207.4;20
2011 06 20 21 45;-74.121;7.058;211.0;21
2011 06 25 02 45;-73.55;7.487;198.3;02
2011 06 30 02 15;-73.836;8.202;193.0;02
2011 06 29 23 15;-73.693;7.344;191.2;23
2011 07 01 00 15;-73.693;7.058;188.4;00
2011 07 02 21 45;-74.407;6.199;197.5;21
2011 07 03 01 15;-73.693;7.344;227.3;01
2011 07 04 05 15;-74.55;6.056;201.2;05
2011 07 04 05 45;-74.55;6.056;201.1;05
2011 07 05 23 15;-74.693;5.77;199.4;23
2011 07 07 02 45;-73.693;8.202;196.1;02
2011 07 07 01 45;-73.55;7.487;216.6;01
2011 07 10 01 15;-73.836;7.058;190.5;01
2011 07 10 22 45;-74.264;6.915;193.0;22
2011 07 12 01 15;-74.121;7.63;192.5;01
2011 07 15 03 45;-73.693;7.773;192.0;03
2011 07 19 01 45;-73.693;6.772;209.0;01
2011 07 19 01 45;-73.693;6.772;209.0;01
2011 07 20 00 45;-74.55;6.628;196.9;00
2011 07 19 23 15;-74.407;6.342;215.9;23
2011 07 19 22 45;-74.407;6.056;221.5;22
2011 07 20 05 15;-73.979;7.773;228.1;05
2011 07 21 03 45;-73.979;6.342;199.9;03
2011 07 23 05 45;-73.55;7.487;228.4;05
2011 07 24 02 15;-74.121;7.201;192.3;02
2011 07 27 05 45;-73.693;7.487;198.8;05
2011 07 29 00 45;-74.121;6.342;192.0;00
2011 07 29 23 45;-74.836;5.341;212.1;23
2011 08 01 02 15;-73.979;7.773;204.1;02
2011 08 04 23 45;-74.121;6.199;198.8;23
2011 08 08 02 45;-74.121;7.344;204.1;02
2011 08 08 03 45;-74.55;6.342;204.2;03
2011 08 08 02 45;-74.121;7.344;204.1;02
2011 08 08 03 45;-74.55;6.342;204.2;03
2011 08 11 00 45;-74.121;7.058;194.0;00
2011 08 10 23 15;-74.121;6.628;208.3;23
2011 08 11 05 15;-73.836;8.202;209.6;05
2011 08 11 22 45;-74.407;6.628;192.5;22
2011 08 12 23 15;-74.264;7.058;207.5;23
2011 08 14 03 15;-74.121;7.344;194.8;03
2011 08 14 21 45;-74.407;6.772;195.3;21
2011 08 15 02 45;-73.693;7.058;194.3;02
2011 08 15 23 15;-73.55;8.059;199.6;23
2011 08 16 22 45;-74.407;6.772;206.0;22
2011 08 18 22 45;-74.693;6.199;190.4;22
2011 08 18 20 15;-74.264;6.915;216.7;20
2011 08 19 01 15;-74.121;7.201;198.9;01
2011 08 20 23 15;-73.693;7.63;204.1;23
2011 08 21 01 15;-73.836;8.059;193.2;01
2011 08 21 23 15;-74.836;5.913;190.9;23
2011 08 21 22 15;-73.55;7.916;212.3;22
2011 08 24 01 45;-74.121;6.485;192.7;01
2011 08 24 23 15;-73.979;6.342;211.3;23
2011 08 27 22 15;-74.264;6.342;194.2;22
2011 08 27 20 15;-73.693;6.485;200.6;20
2011 08 29 20 45;-74.407;6.628;201.5;20
2011 09 03 02 15;-74.264;6.772;198.9;02
2011 09 03 01 45;-74.264;6.915;199.8;01
2011 09 07 21 15;-74.55;6.199;206.3;21
2011 09 13 00 15;-74.407;6.915;216.0;00
2011 09 13 20 15;-74.55;6.628;205.3;20
2011 09 15 23 45;-73.979;6.485;195.5;23
2011 09 16 02 15;-74.264;6.772;194.6;02
2011 09 17 02 45;-73.55;7.344;206.6;02
2011 09 19 01 45;-73.693;6.628;207.0;01
2011 09 20 00 45;-74.121;6.628;191.9;00
2011 09 23 03 15;-73.407;7.058;212.1;03
2011 09 23 22 45;-74.836;5.77;191.7;22
2011 09 26 20 45;-74.407;6.628;212.5;20
2011 09 30 22 45;-74.836;5.627;193.4;22
2011 09 30 20 45;-74.264;6.915;206.7;20
2011 10 03 02 15;-74.407;6.056;193.3;02
2011 10 02 23 45;-74.264;6.628;211.7;23
2011 10 04 02 45;-73.836;8.059;193.8;02
2011 10 10 00 45;-74.836;5.77;191.9;00
2011 10 12 01 15;-73.979;6.772;195.8;01
2011 10 12 20 45;-73.979;7.487;205.2;20
2011 10 14 03 45;-74.836;5.627;220.3;03
2011 10 14 21 15;-74.55;6.199;198.0;21
2011 10 14 21 15;-73.407;7.344;201.0;21
2011 10 15 02 45;-73.979;7.058;198.1;02
2011 10 17 00 45;-74.693;6.056;210.8;00
2011 10 17 00 15;-74.407;6.056;207.0;00
2011 10 17 02 15;-73.836;6.772;207.3;02
2011 10 21 02 45;-74.121;6.628;212.0;02
2011 10 25 00 45;-74.121;7.201;208.6;00
2011 10 25 20 15;-74.407;7.058;220.8;20
2011 10 26 01 15;-73.693;7.773;216.4;01
2011 10 30 01 45;-73.979;7.487;188.4;01
2011 11 03 02 15;-74.693;5.484;191.9;02
2011 11 05 05 45;-73.55;8.059;216.7;05
2011 11 06 02 45;-74.693;5.627;196.4;02
2011 11 06 00 45;-73.979;6.199;214.8;00
2011 11 06 00 15;-73.264;7.344;211.4;00
2011 11 07 05 15;-73.979;6.342;206.3;05
2011 11 07 05 15;-73.55;7.344;223.6;05
2011 11 08 20 45;-74.836;5.484;190.7;20
2011 11 08 20 45;-74.121;6.056;213.2;20
2011 11 08 22 45;-73.979;7.916;212.8;22
2011 11 09 23 45;-73.407;7.201;214.3;23
2011 11 10 23 15;-74.121;7.344;208.0;23
2011 11 12 02 15;-73.693;7.487;197.1;02
2011 11 11 20 15;-73.55;7.201;221.5;20
2011 11 12 00 15;-73.55;7.487;203.3;00
2011 11 13 01 45;-74.55;6.199;194.7;01
2011 11 13 03 45;-74.121;7.058;203.6;03
2011 11 14 20 45;-73.836;7.773;197.9;20
2011 11 16 01 15;-73.836;6.915;202.6;01
2011 11 17 02 15;-73.836;7.773;198.1;02
2011 11 18 04 45;-73.693;7.201;193.4;04
2011 11 19 05 45;-73.693;7.773;199.8;05
2011 11 18 22 15;-74.836;5.913;219.5;22
2011 11 18 23 15;-74.121;6.485;224.3;23
2011 11 19 02 15;-73.264;7.487;209.4;02
2011 11 20 03 45;-73.836;7.63;223.0;03
2011 11 20 23 15;-73.55;7.487;208.2;23
2011 11 21 21 15;-73.407;7.773;222.6;21
2011 11 22 00 15;-74.836;5.627;223.4;00
2011 11 22 02 45;-74.121;6.915;225.4;02
